DT,Search,Sp2 - Full Search,75,5,6,7,0.30
DT,Search,Sp2 - Update Search,15,25,27,29,0.40
DT,Search,Update Search,15,25,27,29,0.50
DT,Search,Regular/RVSI Search - NJ,26,14,16,17,0.60
DT,Search,Extended Update Search (RVSI & SP2),20,19,20,22,0.70
DT,Search,TitleIQQualityControl (including Typing),40,9,10,11,0.80
DT,Search,TitleIQQualityControl (only Search),25,15,16,18,0.90
DT,Typing,TitleIQQualityControl (Only Typing),20,19,20,22,1.00
DT,TXExceptions,TX - Exceptions,40,9,10,11,0.10
DT,TXExceptions,TX - Prior Policy,22,17,19,20,0.20
DT,Typing,Abstract Indexing Module,24,16,17,18,0.30
DT,Typing,Portal Typing (RVSI & SP2),45,8,9,10,0.40
DT,Typing,Template Typing (RVSI & SP2),45,8,9,10,0.50
DT,Typing,Typing Work (RVSI & SP2),26,14,16,17,0.60
DT,VMQC,Vm Quality Control,20,19,20,22,0.70
DT,VMQC,Update VM QualityControl,10,37,40,43,0.80
TW,Search,Update - Va,19,20,21,23,0.90
TW,Search,Update - Ga,19,20,21,23,1.00
TW,Search,Current Owner - Va,38,10,11,12,0.10
TW,Search,Current Owner - Ga,38,10,11,12,0.20
TW,Search,Redo Search,38,10,11,12,0.30
TW,Search,Two Owner - Va,58,6,7,8,0.40
TW,Search,Full Search - Va,58,6,7,8,0.50
TW,Search,Full Search - Ga,70,5,6,7,0.60
TW,Typing,Typing,45,8,9,10,0.70
